,早,中,晚
69,冬瓜粉条、炒甘蓝、鸡蛋、大米粥、馒头,黄焖丸子、大锅菜、黄瓜拉皮、面片汤、大米饭,宫保鸡丁、土豆丝、北瓜小米粥
70,炒空心菜、炒菜花、疙瘩汤、花卷,大盘鸡、黄瓜拉皮、小白菜粉条、玉米碴粥、大米饭,香辣肉片、炒甘蓝、小米北瓜粥、豆包
71,,,
72,早,中,晚
73,黄瓜扒糕、大葱香菜豆腐丝、炒白菜、黑米粥、馒头,酱大骨、豆角鸡蛋、小白菜粉条、炒油菜、烙饼,绿豆芽韭菜炒粉条、小米粥、花卷
74,芹菜花生、炒甘蓝、豆浆、油条,蛋炒饭、炸酱面、鱼香肉丝、花卷,木须肉、番茄甘蓝粉条、北瓜小米粥、馒头
75,凉拌金针菇、醋溜豆芽、百合红枣粥、花卷,大葱烧豆腐、豆角腊肉、香干芹菜、大米饭,香辣肉片、青椒木耳、小米粥、馒头
76,炒甘蓝、炒土豆丝、皮蛋瘦肉粥、煎饼,韭菜鸡蛋包子、牛肉胡萝卜包子、菠菜粉丝、大米粥,风味炒肉、青椒土豆片、北瓜小米粥、花卷
77,菜花木耳花生米、炒甘蓝、豆腐脑、馒头,土豆炖牛肉、牛肉罩饼、青椒木耳鸡蛋、香辣海带丝、大米饭,青椒鸡蛋、蒜薹炒鸡蛋、小米粥、馒头
78,凉拌腐竹、炒冬瓜片、红枣粥、花卷,麻辣鸡块、西红柿鸡蛋、面片汤、馒头,豆角炒牛柳、土豆丝、北瓜小米粥、馒头
79,黄瓜花生米、椒油甘蓝、疙瘩汤、馒头,红烧肉、豆角鸡蛋、炒土豆丝、玉米碴粥、大米饭,宫保鸡丁、炒甘蓝、小米粥、花卷
80,,,
81,,,
82,早,中,晚
83,大葱香菜豆腐丝、炒菜花、黑米粥、馒头、鸡蛋,孜然羊肉、菠菜粉条鸡蛋、炒油菜、烙饼,青椒土豆片、麻辣鸡块小米粥、花卷
84,姜汁藕片、炒甘蓝、豆浆、油条,茄泥、西红柿鸡蛋面、豆角腊肉、花卷,木须肉、番茄甘蓝粉条、北瓜小米粥、馒头
85,凉拌金针菇、醋溜豆芽、百合红枣粥、花卷,苦菊海带丝、豆角腊肉、茄泥、大米饭,香辣肉片、木耳鸡蛋、小米粥、馒头
86,炒白菜、炒土豆丝、皮蛋瘦肉粥、煎饼,茴香鸡蛋包子、猪肉大葱包子、鸡蛋汤,风味炒肉、青椒土豆片、北瓜小米粥、花卷
87,炒黄豆芽、炒甘蓝、豆腐脑、馒头、鸡蛋,土豆炖牛肉、大锅菜、香辣海带丝、大米饭,青椒鸡蛋、炒长豆角、小米粥、馒头
88,凉拌腐竹、炒冬瓜片、炒甘蓝、红枣粥、花卷,麻辣鸡块、茄泥、面片汤、馒头,豆角炒牛柳、土豆丝、北瓜小米粥、馒头
89,小葱拌豆腐、炒甘蓝、疙瘩汤、馒头,茄泥、炒土豆丝、玉米碴粥、大米饭,宫保鸡丁、炒甘蓝、小米粥、花卷
